Regione-Provincia_Autonoma;Corsi;Partecipanti;Ore Medie Teoria;Ore Medie Pratica
Abruzzo;82;1646;4,25;
Basilicata;19;68;6,00;2,00
Calabria;8;129;3,00;0,50
Campania;10;55;2,00;
Emilia Romagna;87;2264;2,00;1,00
Friuli Venezia Giulia;;;;
Lazio;7;95;3,00;1,00
Liguria;5;38;7,00;
Lombardia;2;166;2,00;
Marche;3;83;6,50;1,00
Molise;10;150;3,00;3,00
Bolzano;2;59;4,00;
Trento;13;153;5,00;
Piemonte;105;978;3,90;2,90
Puglia;37;951;2,70;1,30
Sardegna;3;27;5,00;
Sicilia;15;198;3,00;3,00
Toscana;6;120;4,00;1,50
Umbria;;;;
Valle D'Aosta;2;15;2,50;
Veneto;17;506;1,00;2,00
Totale;433;7701;3,33;0,91
