Regione/Provincia Autonoma;Celiaci;Spesa (€);Spesa Media pro-capite
Abruzzo;5772;5775595,00;1001
Basilicata;1809;1872610,00;1035
Calabria;6562;7053754,00;1075
Campania;23431;23877541,00;1019
Emilia Romagna;19659;19876134,00;1011
Friuli Venezia Giulia;4142;3437111,00;830
Lazio;24600;23582600,00;959
Liguria;5988;5724456,00;956
Lombardia;43919;41967058,00;956
Marche;5016;5146357,00;1026
Molise;1067;1187325,00;1113
Bolzano;2064;1869880,00;906
Trento;2768;300401800;1085
Piemonte;15470;15678707,00;1013
Puglia;14551;9089562,00;625
Sardegna;7372;7056510,00;957
Sicilia;17971;18521825,00;1031
Toscana;18721;17743615,00;948
Umbria;3996;3659375,00;916
Valle D'Aosta;636;651606,00;1025
Veneto;16215;16573801,00;1022
Totale;241729;233349439,00;965
