Regione-Provincia_Autonoma;Totale;Celiaci_M;Celiaci_F;Rapporto F:M
Abruzzo;5755;1624;4131;3
Basilicata;2241;629;1612;3
Calabria;6784;1924;4860;3
Campania;24395;7905;16490;2
Emilia Romagna;20776;6579;14197;2
Friuli Venezia Giulia;4638;1363;3275;2
Lazio;25351;7536;17815;2
Liguria;6174;1878;4296;2
Lombardia;46433;14378;32055;2
Marche;5135;1589;3546;2
Molise;1121;308;813;3
Bolzano;2219;670;1549;2
Trento;2918;945;1973;2
Piemonte;17151;4941;12210;2
Puglia;15033;4518;10515;2
Sardegna;7050;1797;5253;3
Sicilia;17683;5056;12627;2
Toscana;19599;5710;13889;2
Umbria;4175;1264;2911;2
Valle D'Aosta;659;206;453;2
Veneto;16649;5065;11584;2
Totale;251939;75885;176054;2
