RegioneProvincia_Autonoma;Corsi;Partecipanti;Ore Medie Teoria;Ore Medie Pratica
Abruzzo;130;4309;4;1
Basilicata;19;143;6;2
Calabria;14;271;4;1
Campania;44;778;9;2
Emilia Romagna;70;5185;2;1
Friuli Venezia Giulia;;;;
Lazio;2;16;2;1
Liguria;4;38;4;4
Lombardia;1;50;14;
Marche;7;267;6;
Molise;10;160;3;3
Bolzano;3;28;2;
Trento;11;107;5;
Piemonte;122;1139;4;3
Puglia;37;1035;3;1
Sardegna;;;;
Sicilia;5;86;3;3
Toscana;4;66;3;2
Umbria;6;537;3;1
Valle D'Aosta;1;34;4;
Veneto;71;627;4;4
Totale;561;14876;4;1
