Regione-Provincia_Autonoma;Mense Scolastiche;Mense Ospedaliere;Mense Pubbliche;Mense Totali
Abruzzo;707;134;70;911
Basilicata;220;20;20;260
Calabria;546;222;26;794
Campania;1733;325;172;2230
Emilia Romagna;3090;980;80;4150
Friuli Venezia Giulia;998;276;30;1304
Lazio;779;79;50;908
Liguria;596;165;377;1138
Lombardia;2606;1881;0;4487
Marche;437;55;128;620
Molise;9;5;4;18
Bolzano;436;99;56;591
Trento;584;19;172;775
Piemonte;3610;1408;593;5611
Puglia;398;148;9;555
Sardegna;918;206;281;1405
Sicilia;869;196;87;1152
Toscana;2750;481;425;3656
Umbria;652;231;29;912
Valle D'Aosta;92;68;20;180
Veneto;2711;622;246;3579
Totale;24741;7620;2875;35236
