Regione-Provincia_Autonoma;6M_5A;6A_9A;10A_13A;14A_17A;18A_59A;60A_oltre
Abruzzo;126;301;384;457;3942;545
Basilicata;54;113;148;151;1549;226
Calabria;239;418;447;587;4469;624
Campania;812;1175;1552;1964;16931;1961
Emilia Romagna;448;1086;1695;2029;13238;2280
Friuli Venezia Giulia;80;169;296;385;3126;582
Lazio;600;1163;1702;2030;17047;2809
Liguria;86;189;304;416;4150;1029
Lombardia;817;1868;2997;3693;31084;5974
Marche;91;242;378;489;3361;574
Molise;20;35;70;93;784;119
Bolzano;59;127;180;190;1356;307
Trento;48;114;205;246;1955;350
Piemonte;267;588;919;1211;11574;2592
Puglia;479;923;1231;1412;9885;1103
Sardegna;80;209;339;432;4742;1248
Sicilia;439;843;1091;1243;11950;2117
Toscana;293;638;1089;1469;13363;2747
Umbria;55;149;240;315;2842;574
Valle D'Aosta;4;24;27;53;457;94
Veneto;304;692;1169;1515;10971;1998
Totale;5401;11066;16463;20380;168776;29853
%;2;4;7;8;67;12
