RegioneProvincia_Autonoma;Partecipanti 2019;Partecipanti 2020;Partecipanti 2021;Partecipanti 2022
Abruzzo;4045;1607;1646;4309
Basilicata;155;118;68;143
Calabria;345;96;129;271
Campania;617;208;55;778
Emilia Romagna;2980;1300;2264;5185
Friuli Venezia Giulia;;;;
Lazio;418;202;95;16
Liguria;0;78;38;38
Lombardia;237;107;166;50
Marche;317;107;83;267
Molise;220;250;150;160
Bolzano;86;3;59;28
Trento;201;127;153;107
Piemonte;1863;747;978;1139
Puglia;1965;428;951;1035
Sardegna;285;41;27;
Sicilia;920;122;198;86
Toscana;;;120;66
Umbria;172;;;537
Valle D'Aosta;119;34;15;34
Veneto;2042;208;506;627
Totale;16987;5783;7701;14876
